,Title,Director,Year,Country
215,Jeruzalem,"Doron Paz, Yoav Paz",2015,USA
216,Juan of the Dead,Alejandro Brugués,2011,USA
217,Junk,Atsushi Muroga,2000,Japan
218,Killing Spree,Tim Ritter,1987,USA
219,King of the Zombies,Jean Yarbrough,1941,Malaysia
220,The Kirishima Thing,Daihachi Yoshida,2012,Hong Kong
221,Kiss Daddy Goodbye,Patrick Regan,1981,"USA, Germany"
222,KL Zombi,Ming Jin Woo,2013,"France, Canada, USA"
223,Kung Fu Zombie,Shan Hua,1981,"UK, Ireland"
224,L.A. Zombie,Bruce La Bruce,2010,New Zealand
225,Land of the Dead,George A. Romero,2005,"UK, Hong Kong"
226,Las momias de Guanajuato,N/A,1962,USA
227,The Last Days on Mars,Ruairi Robinson,2013,"Spain, Italy"
228,The Last Man on Earth,N/A,2015,USA
229,Last of the Living,Logan McMillan,2009,"UK, USA"
230,The Legend of the 7 Golden Vampires,"Roy Ward Baker, Cheh Chang",1974,Canada
231,Legion of the Night,Matt Jaissle,1995,USA
232,Let Sleeping Corpses Lie,Jorge Grau,1974,USA
233,Life After Beth,Jeff Baena,2014,USA
234,Lifeforce,Tobe Hooper,1985,Canada
235,A Little Bit Zombie,Casey Walker,2012,"USA, Switzerland"
236,Little Monsters,Richard Greenberg,1989,USA
237,Livelihood,Ryan Graham,2005,USA
238,Machine Head,Jim Valdez,2011,USA
239,The Mad,John Kalangis,2007,USA
240,Maggie,Henry Hobson,2015,"Canada, USA"
241,Make-Out with Violence,Deagol Brothers,2008,Canada
242,Maniac,N/A,2018,USA
243,Maniac Cop,William Lustig,1988,Japan
244,Maniac Cop 2,William Lustig,1990,USA
245,Mansion of the Living Dead: The Mansion Jess Built,Roger Browning,2006,USA
246,Meat Market,Brian Clement,2000,USA
247,Meat Market 2,Brian Clement,2001,USA
248,Messiah of Evil,"Willard Huyck, Gloria Katz",1973,USA
249,Miss Zombie,SABU,2013,France
250,Monstrosity,"Joseph V. Mascelli, Jack Pollexfen",1963,USA
251,Jean-Pierr Bouyxou n 'La Morte Vivante',N/A,2012,USA
252,Mortuary,Tobe Hooper,2005,USA
